Old	New	ln_Old	ln_New	sqrt_Old	New/sqrt(Old)
200	18	5,2983	2,8904	14,14	1,2728
204	19	5,3181	2,9444	14,28	1,3303
207	19	5,3327	2,9444	14,39	1,3206
210	19	5,3471	2,9444	14,49	1,3111
212	19	5,3566	2,9444	14,56	1,3049
216	19	5,3753	2,9444	14,70	1,2928
220	19	5,3936	2,9444	14,83	1,2810
223	20	5,4072	2,9957	14,93	1,3393
225	20	5,4161	2,9957	15,00	1,3333
229	20	5,4337	2,9957	15,13	1,3216
230	20	5,4381	2,9957	15,17	1,3188
235	20	5,4596	2,9957	15,33	1,3047
238	20	5,4723	2,9957	15,43	1,2964
240	20	5,4806	2,9957	15,49	1,2910
242	20	5,4889	2,9957	15,56	1,2856
244	21	5,4972	3,0445	15,62	1,3444
246	21	5,5053	3,0445	15,68	1,3389
249	21	5,5175	3,0445	15,78	1,3308
250	21	5,5215	3,0445	15,81	1,3282
251	21	5,5255	3,0445	15,84	1,3255
254	21	5,5373	3,0445	15,94	1,3177
255	21	5,5413	3,0445	15,97	1,3151
262	21	5,5683	3,0445	16,19	1,2974
270	22	5,5984	3,0910	16,43	1,3389
280	22	5,6348	3,0910	16,73	1,3148
285	22	5,6525	3,0910	16,88	1,3032
289	23	5,6664	3,1355	17,00	1,3529
290	23	5,6699	3,1355	17,03	1,3506
295	23	5,6870	3,1355	17,18	1,3391
298	23	5,6971	3,1355	17,26	1,3324
299	23	5,7004	3,1355	17,29	1,3301
300	23	5,7038	3,1355	17,32	1,3279
302	23	5,7104	3,1355	17,38	1,3235
306	23	5,7236	3,1355	17,49	1,3148
319	24	5,7652	3,1781	17,86	1,3437
332	24	5,8051	3,1781	18,22	1,3172
334	24	5,8111	3,1781	18,28	1,3132
335	24	5,8141	3,1781	18,30	1,3113
340	25	5,8289	3,2189	18,44	1,3558
344	25	5,8406	3,2189	18,55	1,3479
350	25	5,8579	3,2189	18,71	1,3363
355	25	5,8721	3,2189	18,84	1,3269
357	25	5,8777	3,2189	18,89	1,3231
360	25	5,8861	3,2189	18,97	1,3176
361	26	5,8889	3,2581	19,00	1,3684
366	26	5,9026	3,2581	19,13	1,3590
374	26	5,9243	3,2581	19,34	1,3444
375	26	5,9269	3,2581	19,36	1,3426
378	26	5,9349	3,2581	19,44	1,3373
382	26	5,9454	3,2581	19,54	1,3303
387	26	5,9584	3,2581	19,67	1,3217
390	27	5,9661	3,2958	19,75	1,3672
395	27	5,9789	3,2958	19,87	1,3585
400	27	5,9915	3,2958	20,00	1,3500
404	27	6,0014	3,2958	20,10	1,3433
405	27	6,0039	3,2958	20,12	1,3416
408	27	6,0113	3,2958	20,20	1,3367
420	28	6,0403	3,3322	20,49	1,3663
425	28	6,0521	3,3322	20,62	1,3582
429	28	6,0615	3,3322	20,71	1,3519
430	28	6,0638	3,3322	20,74	1,3503
433	28	6,0707	3,3322	20,81	1,3456
434	28	6,0730	3,3322	20,83	1,3440
440	28	6,0868	3,3322	20,98	1,3348
442	29	6,0913	3,3673	21,02	1,3794
445	29	6,0981	3,3673	21,10	1,3747
450	29	6,1092	3,3673	21,21	1,3671
455	29	6,1203	3,3673	21,33	1,3595
463	29	6,1377	3,3673	21,52	1,3477
465	29	6,1420	3,3673	21,56	1,3448
468	29	6,1485	3,3673	21,63	1,3405
470	29	6,1527	3,3673	21,68	1,3377
472	30	6,1570	3,4012	21,73	1,3809
475	30	6,1633	3,4012	21,79	1,3765
480	30	6,1738	3,4012	21,91	1,3693
484	30	6,1821	3,4012	22,00	1,3636
497	30	6,2086	3,4012	22,29	1,3457
500	31	6,2146	3,4340	22,36	1,3864
502	31	6,2186	3,4340	22,41	1,3836
505	31	6,2246	3,4340	22,47	1,3795
506	31	6,2265	3,4340	22,49	1,3781
509	31	6,2324	3,4340	22,56	1,3741
510	31	6,2344	3,4340	22,58	1,3727
514	31	6,2422	3,4340	22,67	1,3674
518	31	6,2500	3,4340	22,76	1,3621
520	31	6,2538	3,4340	22,80	1,3594
523	31	6,2596	3,4340	22,87	1,3555
531	32	6,2748	3,4657	23,04	1,3887
535	32	6,2823	3,4657	23,13	1,3835
544	32	6,2989	3,4657	23,32	1,3720
545	32	6,3008	3,4657	23,35	1,3707
548	32	6,3063	3,4657	23,41	1,3670
550	32	6,3099	3,4657	23,45	1,3645
555	32	6,3190	3,4657	23,56	1,3583
561	33	6,3297	3,4965	23,69	1,3933
565	33	6,3368	3,4965	23,77	1,3883
570	33	6,3456	3,4965	23,87	1,3822
585	33	6,3716	3,4965	24,19	1,3644
590	33	6,3801	3,4965	24,29	1,3586
595	34	6,3886	3,5264	24,39	1,3939
599	34	6,3953	3,5264	24,47	1,3892
600	34	6,3969	3,5264	24,49	1,3880
605	34	6,4052	3,5264	24,60	1,3823
610	34	6,4135	3,5264	24,70	1,3766
615	34	6,4216	3,5264	24,80	1,3710
625	34	6,4378	3,5264	25,00	1,3600
629	35	6,4441	3,5553	25,08	1,3955
638	35	6,4583	3,5553	25,26	1,3857
640	35	6,4615	3,5553	25,30	1,3835
645	35	6,4693	3,5553	25,40	1,3781
650	35	6,4770	3,5553	25,50	1,3728
660	36	6,4922	3,5835	25,69	1,4013
663	36	6,4968	3,5835	25,75	1,3981
665	36	6,4998	3,5835	25,79	1,3960
680	36	6,5221	3,5835	26,08	1,3805
701	37	6,5525	3,6109	26,48	1,3975
705	37	6,5582	3,6109	26,55	1,3935
706	37	6,5596	3,6109	26,57	1,3925
710	37	6,5653	3,6109	26,65	1,3886
714	37	6,5709	3,6109	26,72	1,3847
727	37	6,5889	3,6109	26,96	1,3723
731	38	6,5944	3,6376	27,04	1,4055
740	38	6,6067	3,6376	27,20	1,3969
748	38	6,6174	3,6376	27,35	1,3894
750	38	6,6201	3,6376	27,39	1,3876
752	38	6,6227	3,6376	27,42	1,3857
761	38	6,6346	3,6376	27,59	1,3775
765	39	6,6399	3,6636	27,66	1,4100
774	39	6,6516	3,6636	27,82	1,4018
778	39	6,6567	3,6636	27,89	1,3982
780	39	6,6593	3,6636	27,93	1,3964
790	39	6,6720	3,6636	28,11	1,3876
795	39	6,6783	3,6636	28,20	1,3832
800	40	6,6846	3,6889	28,28	1,4142
808	40	6,6946	3,6889	28,43	1,4072
825	40	6,7154	3,6889	28,72	1,3926
830	40	6,7214	3,6889	28,81	1,3884
835	40	6,7274	3,6889	28,90	1,3843
840	41	6,7334	3,7136	28,98	1,4146
850	41	6,7452	3,7136	29,15	1,4063
854	41	6,7499	3,7136	29,22	1,4030
855	41	6,7511	3,7136	29,24	1,4022
860	41	6,7569	3,7136	29,33	1,3981
863	41	6,7604	3,7136	29,38	1,3957
867	41	6,7650	3,7136	29,44	1,3924
870	41	6,7685	3,7136	29,50	1,3900
871	41	6,7696	3,7136	29,51	1,3892
880	42	6,7799	3,7377	29,66	1,4158
885	42	6,7856	3,7377	29,75	1,4118
888	42	6,7890	3,7377	29,80	1,4094
892	42	6,7935	3,7377	29,87	1,4063
895	42	6,7968	3,7377	29,92	1,4039
900	42	6,8024	3,7377	30,00	1,4000
901	42	6,8035	3,7377	30,02	1,3992
905	42	6,8079	3,7377	30,08	1,3961
910	42	6,8134	3,7377	30,17	1,3923
914	43	6,8178	3,7612	30,23	1,4223
915	43	6,8189	3,7612	30,25	1,4215
918	43	6,8222	3,7612	30,30	1,4192
926	43	6,8309	3,7612	30,43	1,4131
930	43	6,8352	3,7612	30,50	1,4100
931	43	6,8363	3,7612	30,51	1,4093
935	43	6,8405	3,7612	30,58	1,4063
939	43	6,8448	3,7612	30,64	1,4033
944	43	6,8501	3,7612	30,72	1,3995
948	43	6,8544	3,7612	30,79	1,3966
950	43	6,8565	3,7612	30,82	1,3951
960	44	6,8669	3,7842	30,98	1,4201
964	44	6,8711	3,7842	31,05	1,4171
969	44	6,8763	3,7842	31,13	1,4135
978	44	6,8855	3,7842	31,27	1,4070
990	44	6,8977	3,7842	31,46	1,3984
1000	45	6,9078	3,8067	31,62	1,4230
1003	45	6,9108	3,8067	31,67	1,4209
1005	45	6,9127	3,8067	31,70	1,4195
1015	45	6,9226	3,8067	31,86	1,4125
1020	45	6,9276	3,8067	31,94	1,4090
1025	45	6,9324	3,8067	32,02	1,4056
1028	45	6,9354	3,8067	32,06	1,4035
1035	46	6,9422	3,8286	32,17	1,4298
1045	46	6,9518	3,8286	32,33	1,4230
1050	46	6,9565	3,8286	32,40	1,4196
1060	46	6,9660	3,8286	32,56	1,4129
1062	46	6,9679	3,8286	32,59	1,4115
1065	46	6,9707	3,8286	32,63	1,4096
1075	46	6,9801	3,8286	32,79	1,4030
1080	47	6,9847	3,8501	32,86	1,4302
1084	47	6,9884	3,8501	32,92	1,4275
1088	47	6,9921	3,8501	32,98	1,4249
1090	47	6,9939	3,8501	33,02	1,4236
1095	47	6,9985	3,8501	33,09	1,4203
1100	47	7,0031	3,8501	33,17	1,4171
1105	47	7,0076	3,8501	33,24	1,4139
1110	47	7,0121	3,8501	33,32	1,4107
1115	47	7,0166	3,8501	33,39	1,4075
1118	47	7,0193	3,8501	33,44	1,4056
1122	48	7,0229	3,8712	33,50	1,4330
1130	48	7,0300	3,8712	33,62	1,4279
1135	48	7,0344	3,8712	33,69	1,4248
1139	48	7,0379	3,8712	33,75	1,4223
1140	48	7,0388	3,8712	33,76	1,4216
1148	48	7,0458	3,8712	33,88	1,4167
1150	48	7,0475	3,8712	33,91	1,4154
1152	48	7,0493	3,8712	33,94	1,4142
1164	49	7,0596	3,8918	34,12	1,4362
1165	49	7,0605	3,8918	34,13	1,4356
1173	49	7,0673	3,8918	34,25	1,4307
1180	49	7,0733	3,8918	34,35	1,4264
1182	49	7,0750	3,8918	34,38	1,4252
1190	49	7,0817	3,8918	34,50	1,4204
1200	49	7,0901	3,8918	34,64	1,4145
1210	50	7,0984	3,9120	34,79	1,4374
1211	50	7,0992	3,9120	34,80	1,4368
1232	50	7,1164	3,9120	35,10	1,4245
1250	51	7,1309	3,9318	35,36	1,4425
1262	51	7,1405	3,9318	35,52	1,4356
1265	51	7,1428	3,9318	35,57	1,4339
1266	51	7,1436	3,9318	35,58	1,4334
1275	51	7,1507	3,9318	35,71	1,4283
1280	51	7,1546	3,9318	35,78	1,4255
1284	51	7,1577	3,9318	35,83	1,4233
1300	52	7,1701	3,9512	36,06	1,4422
1313	52	7,1801	3,9512	36,24	1,4351
1315	52	7,1816	3,9512	36,26	1,4340
1318	52	7,1839	3,9512	36,30	1,4323
1320	52	7,1854	3,9512	36,33	1,4313
1326	52	7,1899	3,9512	36,41	1,4280
1330	52	7,1929	3,9512	36,47	1,4259
1334	5	7,1959	1,6094	36,52	0,1369
1334	7	7,1959	1,9459	36,52	0,1917
1335	52	7,1967	3,9512	36,54	1,4232
1339	52	7,1997	3,9512	36,59	1,4211
1340	52	7,2004	3,9512	36,61	1,4205
1347	5	7,2056	1,6094	36,70	0,1362
1347	53	7,2056	3,9703	36,70	1,4441
1350	53	7,2079	3,9703	36,74	1,4425
1355	53	7,2116	3,9703	36,81	1,4398
1360	53	7,2152	3,9703	36,88	1,4372
1364	53	7,2182	3,9703	36,93	1,4351
1370	53	7,2226	3,9703	37,01	1,4319
1380	53	7,2298	3,9703	37,15	1,4267
1390	54	7,2371	3,9890	37,28	1,4484
1398	54	7,2428	3,9890	37,39	1,4442
1400	54	7,2442	3,9890	37,42	1,4432
1402	54	7,2457	3,9890	37,44	1,4422
1424	54	7,2612	3,9890	37,74	1,4310
1425	54	7,2619	3,9890	37,75	1,4305
1436	5	7,2696	1,6094	37,89	0,1319
1436	55	7,2696	4,0073	37,89	1,4514
1449	55	7,2786	4,0073	38,07	1,4449
1450	55	7,2793	4,0073	38,08	1,4444
1454	55	7,2821	4,0073	38,13	1,4424
1458	55	7,2848	4,0073	38,18	1,4404
1466	55	7,2903	4,0073	38,29	1,4365
1485	56	7,3032	4,0254	38,54	1,4532
1490	56	7,3065	4,0254	38,60	1,4508
1492	56	7,3079	4,0254	38,63	1,4498
1500	56	7,3132	4,0254	38,73	1,4459
1504	56	7,3159	4,0254	38,78	1,4440
1509	56	7,3192	4,0254	38,85	1,4416
1510	56	7,3199	4,0254	38,86	1,4411
1522	56	7,3278	4,0254	39,01	1,4354
1526	56	7,3304	4,0254	39,06	1,4335
1530	56	7,3330	4,0254	39,12	1,4317
1545	57	7,3428	4,0431	39,31	1,4501
1550	57	7,3460	4,0431	39,37	1,4478
1560	57	7,3524	4,0431	39,50	1,4432
1564	57	7,3550	4,0431	39,55	1,4413
1565	57	7,3556	4,0431	39,56	1,4408
1570	7	7,3588	1,9459	39,62	0,1767
1575	57	7,3620	4,0431	39,69	1,4363
1585	8	7,3683	2,0794	39,81	0,2009
1585	58	7,3683	4,0604	39,81	1,4568
1594	58	7,3740	4,0604	39,92	1,4527
1600	58	7,3778	4,0604	40,00	1,4500
1605	58	7,3809	4,0604	40,06	1,4477
1611	58	7,3846	4,0604	40,14	1,4450
1615	58	7,3871	4,0604	40,19	1,4433
1624	58	7,3926	4,0604	40,30	1,4392
1645	59	7,4055	4,0775	40,56	1,4547
1650	59	7,4085	4,0775	40,62	1,4525
1653	59	7,4103	4,0775	40,66	1,4512
1658	59	7,4134	4,0775	40,72	1,4490
1662	59	7,4158	4,0775	40,77	1,4472
1675	59	7,4236	4,0775	40,93	1,4416
1683	59	7,4283	4,0775	41,02	1,4382
1690	60	7,4325	4,0943	41,11	1,4595
1690	6	7,4325	1,7918	41,11	0,1460
1700	60	7,4384	4,0943	41,23	1,4552
1705	60	7,4413	4,0943	41,29	1,4531
1710	60	7,4442	4,0943	41,35	1,4510
1715	60	7,4472	4,0943	41,41	1,4488
1725	60	7,4530	4,0943	41,53	1,4446
1738	61	7,4605	4,1109	41,69	1,4632
1755	61	7,4702	4,1109	41,89	1,4561
1760	61	7,4731	4,1109	41,95	1,4540
1770	61	7,4787	4,1109	42,07	1,4499
1775	61	7,4816	4,1109	42,13	1,4479
1785	61	7,4872	4,1109	42,25	1,4438
1790	62	7,4900	4,1271	42,31	1,4654
1795	62	7,4928	4,1271	42,37	1,4634
1800	62	7,4955	4,1271	42,43	1,4614
1810	62	7,5011	4,1271	42,54	1,4573
1819	62	7,5060	4,1271	42,65	1,4537
1828	62	7,5110	4,1271	42,76	1,4501
1840	62	7,5175	4,1271	42,90	1,4454
1870	63	7,5337	4,1431	43,24	1,4569
1875	63	7,5364	4,1431	43,30	1,4549
1895	63	7,5470	4,1431	43,53	1,4472
1896	64	7,5475	4,1589	43,54	1,4698
1900	64	7,5496	4,1589	43,59	1,4683
1908	64	7,5538	4,1589	43,68	1,4652
1910	64	7,5549	4,1589	43,70	1,4644
1912	64	7,5559	4,1589	43,73	1,4636
1945	64	7,5730	4,1589	44,10	1,4512
1950	64	7,5756	4,1589	44,16	1,4493
1955	65	7,5781	4,1744	44,22	1,4701
1968	65	7,5848	4,1744	44,36	1,4652
1976	65	7,5888	4,1744	44,45	1,4622
1980	65	7,5909	4,1744	44,50	1,4608
2000	65	7,6009	4,1744	44,72	1,4534
2010	66	7,6059	4,1897	44,83	1,4721
2014	66	7,6079	4,1897	44,88	1,4707
2040	66	7,6207	4,1897	45,17	1,4613
2045	66	7,6232	4,1897	45,22	1,4595
2048	66	7,6246	4,1897	45,25	1,4584
2057	66	7,6290	4,1897	45,35	1,4552
2066	67	7,6334	4,2047	45,45	1,4740
2070	67	7,6353	4,2047	45,50	1,4726
2074	67	7,6372	4,2047	45,54	1,4712
2082	67	7,6411	4,2047	45,63	1,4684
2091	67	7,6454	4,2047	45,73	1,4652
2100	67	7,6497	4,2047	45,83	1,4621
2125	68	7,6615	4,2195	46,10	1,4751
2130	68	7,6639	4,2195	46,15	1,4734
2140	68	7,6686	4,2195	46,26	1,4699
2150	68	7,6732	4,2195	46,37	1,4665
2200	69	7,6962	4,2341	46,90	1,4711
2230	69	7,7098	4,2341	47,22	1,4612
2245	70	7,7165	4,2485	47,38	1,4774
2250	70	7,7187	4,2485	47,43	1,4757
2295	71	7,7385	4,2627	47,91	1,4821
2315	71	7,7472	4,2627	48,11	1,4756
2325	71	7,7515	4,2627	48,22	1,4725
2329	71	7,7532	4,2627	48,26	1,4712
2359	72	7,7660	4,2767	48,57	1,4824
2365	72	7,7685	4,2767	48,63	1,4805
2370	72	7,7706	4,2767	48,68	1,4790
2400	72	7,7832	4,2767	48,99	1,4697
2410	72	7,7874	4,2767	49,09	1,4666
2414	73	7,7890	4,2905	49,13	1,4858
2420	73	7,7915	4,2905	49,19	1,4839
2430	73	7,7956	4,2905	49,30	1,4809
2440	73	7,7998	4,2905	49,40	1,4778
2450	73	7,8038	4,2905	49,50	1,4748
2460	73	7,8079	4,2905	49,60	1,4718
2469	73	7,8116	4,2905	49,69	1,4691
2470	73	7,8120	4,2905	49,70	1,4688
2500	74	7,8240	4,3041	50,00	1,4800
2512	74	7,8288	4,3041	50,12	1,4765
2516	74	7,8304	4,3041	50,16	1,4753
2537	75	7,8387	4,3175	50,37	1,4890
2550	75	7,8438	4,3175	50,50	1,4852
2558	75	7,8470	4,3175	50,58	1,4829
2576	75	7,8540	4,3175	50,75	1,4777
2605	76	7,8652	4,3307	51,04	1,4891
2610	76	7,8671	4,3307	51,09	1,4876
2656	76	7,8846	4,3307	51,54	1,4747
2700	77	7,9010	4,3438	51,96	1,4819
2740	78	7,9157	4,3567	52,35	1,4901
2775	78	7,9284	4,3567	52,68	1,4807
2800	79	7,9374	4,3694	52,92	1,4930
2805	79	7,9392	4,3694	52,96	1,4916
2840	79	7,9516	4,3694	53,29	1,4824
2877	80	7,9645	4,3820	53,64	1,4915
2903	80	7,9735	4,3820	53,88	1,4848
2905	80	7,9742	4,3820	53,90	1,4843
2928	81	7,9821	4,3944	54,11	1,4969
2955	81	7,9913	4,3944	54,36	1,4901
2960	81	7,9929	4,3944	54,41	1,4888
2975	81	7,9980	4,3944	54,54	1,4851
2985	82	8,0014	4,4067	54,64	1,5009
2996	82	8,0050	4,4067	54,74	1,4981
3000	82	8,0064	4,4067	54,77	1,4971
3010	82	8,0097	4,4067	54,86	1,4946
3030	82	8,0163	4,4067	55,05	1,4897
3060	83	8,0262	4,4188	55,32	1,5004
3065	83	8,0278	4,4188	55,36	1,4992
3070	83	8,0294	4,4188	55,41	1,4980
3081	83	8,0330	4,4188	55,51	1,4953
3125	84	8,0472	4,4308	55,90	1,5026
3149	84	8,0548	4,4308	56,12	1,4969
3200	85	8,0709	4,4427	56,57	1,5026
3226	85	8,0790	4,4427	56,80	1,4965
3228	85	8,0796	4,4427	56,82	1,4961
3300	86	8,1017	4,4543	57,45	1,4971
3336	87	8,1125	4,4659	57,76	1,5063
3385	87	8,1271	4,4659	58,18	1,4953
3400	88	8,1315	4,4773	58,31	1,5092
3415	88	8,1359	4,4773	58,44	1,5059
3442	88	8,1438	4,4773	58,67	1,5000
3445	88	8,1447	4,4773	58,69	1,4993
3468	89	8,1513	4,4886	58,89	1,5113
3485	89	8,1562	4,4886	59,03	1,5076
3500	89	8,1605	4,4886	59,16	1,5044
3525	89	8,1676	4,4886	59,37	1,4990
3570	90	8,1803	4,4998	59,75	1,5063
3574	90	8,1814	4,4998	59,78	1,5054
3600	90	8,1887	4,4998	60,00	1,5000
3625	91	8,1956	4,5109	60,21	1,5114
3634	91	8,1981	4,5109	60,28	1,5096
3655	91	8,2039	4,5109	60,46	1,5052
3659	91	8,2049	4,5109	60,49	1,5044
3705	92	8,2174	4,5218	60,87	1,5114
3727	92	8,2234	4,5218	61,05	1,5070
3732	92	8,2247	4,5218	61,09	1,5060
3740	92	8,2268	4,5218	61,16	1,5044
3795	93	8,2414	4,5326	61,60	1,5097
3798	93	8,2422	4,5326	61,63	1,5091
3825	93	8,2493	4,5326	61,85	1,5037
3893	94	8,2669	4,5433	62,39	1,5066
3906	95	8,2703	4,5539	62,50	1,5200
3925	95	8,2751	4,5539	62,65	1,5164
3986	96	8,2905	4,5643	63,13	1,5206
4000	96	8,2940	4,5643	63,25	1,5179
4008	96	8,2960	4,5643	63,31	1,5164
4038	96	8,3035	4,5643	63,55	1,5107
4046	96	8,3055	4,5643	63,61	1,5092
4050	96	8,3065	4,5643	63,64	1,5085
4063	97	8,3097	4,5747	63,74	1,5218
4080	97	8,3139	4,5747	63,87	1,5186
4100	97	8,3187	4,5747	64,03	1,5149
4144	98	8,3294	4,5850	64,37	1,5224
4200	98	8,3428	4,5850	64,81	1,5122
4205	98	8,3440	4,5850	64,85	1,5113
4233	99	8,3507	4,5951	65,06	1,5216
4246	99	8,3537	4,5951	65,16	1,5193
4250	99	8,3547	4,5951	65,19	1,5186
4275	99	8,3605	4,5951	65,38	1,5141
4289	99	8,3638	4,5951	65,49	1,5117
4300	100	8,3664	4,6052	65,57	1,5250
4305	100	8,3675	4,6052	65,61	1,5241
4314	100	8,3696	4,6052	65,68	1,5225
4339	100	8,3754	4,6052	65,87	1,5181
4352	100	8,3784	4,6052	65,97	1,5158
4385	101	8,3859	4,6151	66,22	1,5252
4390	101	8,3871	4,6151	66,26	1,5244
4400	101	8,3894	4,6151	66,33	1,5226
4412	101	8,3921	4,6151	66,42	1,5206
4420	101	8,3939	4,6151	66,48	1,5192
4446	101	8,3998	4,6151	66,68	1,5147
4458	102	8,4025	4,6250	66,77	1,5277
4475	102	8,4063	4,6250	66,90	1,5248
4500	102	8,4118	4,6250	67,08	1,5205
4580	103	8,4295	4,6347	67,68	1,5220
4590	103	8,4316	4,6347	67,75	1,5203
4595	103	8,4327	4,6347	67,79	1,5195
4690	105	8,4532	4,6540	68,48	1,5332
4709	105	8,4572	4,6540	68,62	1,5301
4715	105	8,4585	4,6540	68,67	1,5291
4750	105	8,4659	4,6540	68,92	1,5235
4756	105	8,4672	4,6540	68,96	1,5225
4760	105	8,4680	4,6540	68,99	1,5219
4780	106	8,4722	4,6634	69,14	1,5332
4798	106	8,4760	4,6634	69,27	1,5303
4800	106	8,4764	4,6634	69,28	1,5300
4804	106	8,4772	4,6634	69,31	1,5293
4820	106	8,4805	4,6634	69,43	1,5268
4841	106	8,4849	4,6634	69,58	1,5235
4875	107	8,4919	4,6728	69,82	1,5325
4917	107	8,5005	4,6728	70,12	1,5259
4926	107	8,5023	4,6728	70,19	1,5245
4964	108	8,5100	4,6821	70,46	1,5329
4980	108	8,5132	4,6821	70,57	1,5304
4995	108	8,5162	4,6821	70,68	1,5281
5000	108	8,5172	4,6821	70,71	1,5274
5046	109	8,5264	4,6913	71,04	1,5345
5075	109	8,5321	4,6913	71,24	1,5301
5087	109	8,5344	4,6913	71,32	1,5283
5096	109	8,5362	4,6913	71,39	1,5269
5100	109	8,5370	4,6913	71,41	1,5263
5105	109	8,5380	4,6913	71,45	1,5256
5120	110	8,5409	4,7005	71,55	1,5373
5185	110	8,5535	4,7005	72,01	1,5276
5190	110	8,5545	4,7005	72,04	1,5269
5200	111	8,5564	4,7095	72,11	1,5393
5230	111	8,5622	4,7095	72,32	1,5349
5245	111	8,5650	4,7095	72,42	1,5327
5265	111	8,5688	4,7095	72,56	1,5298
5400	113	8,5942	4,7274	73,48	1,5377
5525	114	8,6170	4,7362	74,33	1,5337
5529	114	8,6178	4,7362	74,36	1,5331
5540	115	8,6197	4,7449	74,43	1,5451
5568	115	8,6248	4,7449	74,62	1,5412
5595	115	8,6296	4,7449	74,80	1,5374
5610	115	8,6323	4,7449	74,90	1,5354
5617	115	8,6336	4,7449	74,95	1,5344
5627	116	8,6353	4,7536	75,01	1,5464
5645	116	8,6385	4,7536	75,13	1,5439
5652	116	8,6398	4,7536	75,18	1,5430
5670	116	8,6429	4,7536	75,30	1,5405
5695	116	8,6473	4,7536	75,47	1,5371
5785	117	8,6630	4,7622	76,06	1,5383
5795	117	8,6648	4,7622	76,12	1,5369
5840	118	8,6725	4,7707	76,42	1,5441
5933	119	8,6883	4,7791	77,03	1,5449
5950	119	8,6911	4,7791	77,14	1,5427
5985	120	8,6970	4,7875	77,36	1,5511
5992	120	8,6982	4,7875	77,41	1,5502
5995	120	8,6987	4,7875	77,43	1,5498
5997	120	8,6990	4,7875	77,44	1,5496
6000	120	8,6995	4,7875	77,46	1,5492
6001	120	8,6997	4,7875	77,47	1,5491
6052	120	8,7081	4,7875	77,79	1,5425
6094	121	8,7151	4,7958	78,06	1,5500
6100	121	8,7160	4,7958	78,10	1,5492
6103	121	8,7165	4,7958	78,12	1,5489
6120	121	8,7193	4,7958	78,23	1,5467
6209	122	8,7338	4,8040	78,80	1,5483
6248	122	8,7400	4,8040	79,04	1,5434
6277	123	8,7446	4,8122	79,23	1,5525
6300	123	8,7483	4,8122	79,37	1,5497
6316	123	8,7508	4,8122	79,47	1,5477
6375	124	8,7601	4,8203	79,84	1,5530
6416	124	8,7666	4,8203	80,10	1,5481
6500	125	8,7796	4,8283	80,62	1,5504
6505	125	8,7803	4,8283	80,65	1,5498
6545	126	8,7865	4,8363	80,90	1,5575
6550	126	8,7872	4,8363	80,93	1,5569
6600	126	8,7948	4,8363	81,24	1,5510
6608	126	8,7960	4,8363	81,29	1,5500
6620	126	8,7979	4,8363	81,36	1,5486
6630	126	8,7994	4,8363	81,42	1,5474
6711	127	8,8115	4,8442	81,92	1,5503
6800	128	8,8247	4,8520	82,46	1,5522
6804	128	8,8253	4,8520	82,49	1,5518
6876	129	8,8358	4,8598	82,92	1,5557
6970	130	8,8494	4,8675	83,49	1,5571
6980	130	8,8508	4,8675	83,55	1,5560
7000	130	8,8537	4,8675	83,67	1,5538
7050	131	8,8608	4,8752	83,96	1,5602
